Abudefduf bengalensis;
Abudefduf sexfasciatus;
Abudefduf whitleyi;
Acanthochromis polyacanthus;
Acanthurus blochii;
Acanthurus dussumieri;
Acanthurus grammoptilus;
Acanthurus lineatus;
Acanthurus nigricans;
Acanthurus nigricauda;
Acanthurus nigrofuscus;
Acanthurus pyroferus;
Amblyglyphidodon curacao;
Amblyglyphidodon leucogaster;
Amblygobius phalaena;
Anampses neoguinaicus;
Bodianus axillaris;
Cephalopholis boenak;
Cephalopholis cyanostigma;
Chaetodon aureofasciatus;1
Chaetodon auriga;1
Chaetodon baronessa;1
Chaetodon citrinellus;1
Chaetodon flavirostris;1
Chaetodon kleinii;1
Chaetodon lineolatus;1
Chaetodon lunulatus;1
Chaetodon melannotus;1
Chaetodon mertensii;1
Chaetodon pelewensis;1
Chaetodon plebeius;1
Chaetodon rainfordi;1
Chaetodon trifascialis;1
Chaetodon unimaculatus;1
Cheilinus chlorourus;
Cheilinus fasciatus;
Cheilinus trilobatus;
Cheilodipterus quinquelineatus;
Chelmon rostratus;
Chlorurus microrhinos;
Chlorurus sordidus;
Choerodon fasciatus;
Chromis agilis;
Chromis atripectoralis;
Chromis atripes;
Chromis chrysura;
Chromis iomelas;
Chromis margaritifer;
Chromis nitida;
Chromis ternatensis;
Chromis vanderbilti;
Chrysiptera rollandi;
Chrysiptera taupou;
Cirrhilabrus punctatus;
Cirripectes stigmaticus;
Coris batuensis;
Ctenochaetus binotatus;
Ctenochaetus cyanocheilus;
Ctenochaetus striatus;
Dascyllus reticulatus;
Diploprion bifasciatum;
Dischistodus melanotus;
Ecsenius mandibularis;
Epibulus insidiator;
Epinephelus quoyanus;
Eviota guttata;
Forcipiger flavissimus;
Gomphosus varius;
Halichoeres biocellatus;
Halichoeres hortulanus;
Halichoeres marginatus;
Halichoeres melanurus;
Halichoeres nebulosus;
Halichoeres prosopeion;
Halichoeres trimaculatus;
Hemigymnus fasciatus;
Hemigymnus melapterus;
Heniochus chrysostomus;
Hipposcarus longiceps;
Koumansetta rainfordi;
Labrichthys unilineatus;1
Labroides bicolor;
Labroides dimidiatus;1
Labropsis australis;
Lutjanus bohar;
Lutjanus carponotatus;
Macolor niger;
Macropharyngodon meleagris;
Meiacanthus lineatus;1
Naso brevirostris;
Naso lituratus;
Naso tonganus;
Naso unicornis;
Neoglyphidodon melas;1
Neoglyphidodon nigroris;
Neopomacentrus azysron;1
Neopomacentrus bankieri;1
Oxycheilinus digramma;
Oxycheilinus unifasciatus;
Paracirrhites arcatus;
Paracirrhites forsteri;
Plagiotremus tapeinosoma;
Plectroglyphidodon dickii;1
Plectroglyphidodon johnstonianus;1
Plectropomus laevis;
Plectropomus leopardus;
Plectropomus maculatus;
Pomacentrus amboinensis;1
Pomacentrus australis;1
Pomacentrus bankanensis;1
Pomacentrus brachialis;1
Pomacentrus coelestis;1
Pomacentrus imitator;1
Pomacentrus lepidogenys;1
Pomacentrus magniseptus;1
Pomacentrus moluccensis;1
Pomacentrus vaiuli;1
Pomacentrus wardi;1
Pseudocheilinus hexataenia;1
Pseudolabrus guentheri;
Scarus altipinnis;
Scarus chameleon;
Scarus flavipectoralis;
Scarus frenatus;
Scarus ghobban;
Scarus longipinnis;
Scarus niger;
Scarus rivulatus;
Scarus schlegeli;
Siganus doliatus;
Siganus vulpinus;
Stegastes apicalis;1
Stegastes fasciolatus;1
Stegastes lacrymatus;1
Stegastes nigricans;1
Stethojulis bandanensis;
Stethojulis interrupta;
Sufflamen chrysopterum;
Thalassoma amblycephalum;1
Thalassoma hardwicke;1
Thalassoma lunare;1
Thalassoma lutescens;1
Thalassoma nigrofasciatum;1
Thalassoma quinquevittatum;1
Zebrasoma scopas;1
Zebrasoma velifer;1
